Name,State,Year
Dionicio M. Camacho,Texas,2009
Francis David Blake,Texas,2009
Timothy Gerard Olsovsky,Texas,2009
Cesar Arreola,Texas,2009
Sergio Arturo Antillon,Texas,2010
"Odell McDuffie, Jr.",Texas,2010
Jacob Rene Rayos,Texas,2010
Jonathan Thomas McDonald,Texas,2010
Eydelmen Mani,Texas,2010
David Ralph Slaton,Texas,2010
Kellie Pena,Texas,2010
Timothy Joseph Zurovetz,Texas,2010
Craig Gordon Story,Texas,2010
Andrew Jordan Rameas,Texas,2010
Michael Ray Schaefer,Texas,2010
John William Brown,Texas,2010
Leonard Allen Reed,Texas,2010
Karl Raymond McDonough,Texas,2010
Eddie Lynn Wotipka,Texas,2010
Craig Lamont Shaw,Texas,2010
Jillian Michelle Smith,Texas,2010
Rodney Tomlinson Holder,Texas,2010
John Norsworthy,Texas,2011
Charles Allen VanMeter,Texas,2011
Sherri Katherine Jones,Texas,2011
"Kenneth Gary Vann, Sr.",Texas,2011
Bryan Mitchell Hebert,Texas,2011
Clifton Leigh Taylor,Texas,2011
Kevin Paul Marceau,Texas,2011
Kevin Lee Aigner,Texas,2011
"Robert Leo Britton, Jr.",Texas,2011
Stephanie Ann Brown,Texas,2011
Kevin Scott Will,Texas,2011
Craig Allan Orrell,Texas,2011
Mark Luis Scianna,Texas,2011
Jimmie Deveril Norman,Texas,2012
Joshua Stanley Williams,Texas,2012
Jaime De Luna Padron,Texas,2012
Michael Ray Smith,Texas,2012
"Javier Arana, Jr.",Texas,2012
Edrees Mukhtar,Texas,2012
Jonathan Keith Molina,Texas,2012
Joshua Shane Mitchell,Texas,2012
Paul Hernandez,Texas,2012
Brian David Bachmann,Texas,2012
Angel David Garcia,Texas,2012
"Jorge Luis ""JL"" Garcia",Texas,2013
"Lance Allen ""Lou"" McLean",Texas,2013
Steven K. Fleming,Texas,2013
Larry Dale Candelari,Texas,2013
Robert Layden Hornsby,Texas,2013
Clay Douglas Crabb,Texas,2013
Adam J. Davis,Texas,2013
William Jason Sprague,Texas,2013
"Robert Carey Deckard, Jr.",Texas,2013
Chad Christian Key,Texas,2013
"Billy F. ""Bubba"" Kennedy",Texas,2013
Fredrich Adam Sowders,Texas,2013
Marc Uland Kelley,Texas,2014
Jessica Laura Hollis,Texas,2014
Michael Anthony Pimentel,Texas,2014
"Alejandro ""Alex"" Martinez",Texas,2014
"Jesse Valdez, III",Texas,2014
Michael Joe Naylor,Texas,2014
"Cleveland Drew Johnson, Jr.",Texas,2014
Robert Parker White,Texas,2014
Paul Aaron Buckles,Texas,2014
Lee Dixon,Texas,2014
Charles David Dinwiddie,Texas,2014
Korby Lee Kennedy,Texas,2015
Darren H. Goforth,Texas,2015
William Karl Keesee,Texas,2015
Adrian Arellano,Texas,2015
Timothy A. Davison,Texas,2015
Christopher Dan Kelley,Texas,2015
Darrell Lamond Allen,Texas,2015
"Eligio Ruiz Garcia, Jr.",Texas,2015
Jeffrey Emmons Radford,Texas,2015
Tronoski Dontel Jones,Texas,2015
Christopher A. Davis,Texas,2015
Richard K. Martin,Texas,2015
David Stefan Hofer,Texas,2016
Brent Alan Thompson,Texas,2016
Justin Ryan Scherlen,Texas,2016
Michael Leslie Krol,Texas,2016
"Calvin Marcus McCullers, Jr.",Texas,2016
Robert Eugene Ransom,Texas,2016
Jeffrey Don Nichols,Texas,2016
Mari Anne Johnson,Texas,2016
David Ortiz,Texas,2016
Benjamin Edward Marconi,Texas,2016
Amir Abdul-Khaliq,Texas,2016
Kenneth Joseph Starrs,Texas,2016
Lorne Bradley Ahrens,Texas,2016
Kenneth Hubert Maltby,Texas,2016
Stacey Allen Baumgartner,Texas,2016
Michael Joseph Smith,Texas,2016
Marco Antonio Zarate,Texas,2016
"Thomas Doyle Ray, Jr.",Texas,2016
Patricio Enrique Zamarripa,Texas,2016
Endy Nddiobong  Ekpanya,Texas,2016
"Floyd East, Jr.",Texas,2017
Damon Charles Allen,Texas,2017
Steve Albert Perez,Texas,2017
Monty Dale Platt,Texas,2017
Clinton Francis Greenwood,Texas,2017
Kenneth Malcolm Copeland,Texas,2017
"Elias Martinez, Jr.",Texas,2017
Thomas Patrick Nipper,Texas,2017
Mark Gregory Diebold,Texas,2017
Shana Renee Tedder,Texas,2017
Jerry Ronald Walker,Texas,2017
Jason Matthew Fann,Texas,2017
Elise Ann Ybarra,Texas,2017
"Miguel Moreno, III",Texas,2017
Mark Allan Cox,Texas,2018
"Earl James ""Jamie"" Givens, III",Texas,2018
Richard Wayne Hale,Texas,2018
"Rogelio Santander, Jr.",Texas,2018
Loren Yalith Vasquez,Texas,2018
David Charles Sherrard,Texas,2018
Garrett Willis Hull,Texas,2018
"Charles M. Whites, Jr.",Texas,2018
Jarrod Kyle Friddle,Texas,2018
Lonnie Verdell Burton,Texas,2018
"Raymond Bradley ""Brad"" Jimmerson",Texas,2018
Jose Humberto Meza,Texas,2019
Kaila Marie Sullivan,Texas,2019
Bryan Charles Pfluger,Texas,2019
Matthew Ryan Jones,Texas,2019
David Jones Fitzpatrick,Texas,2019
Sandeep Singh Dhaliwal,Texas,2019
"Albert Ramirez Castaneda, Jr.",Texas,2019
Clifton John Martinez,Texas,2019
Peter John Herrera,Texas,2019
Moises Sanchez,Texas,2019
Russell Dean Salazar,Texas,2019
Christopher Charles Lewis Brewster,Texas,2019
William Christopher Dickerson,Texas,2019
"Ray Elwin Horn, III",Texas,2019
Carlos Aaron Ramirez,Texas,2019
Jose Luis Blancarte,Texas,2019
"Jose Luis ""Speedy"" Espericueta, Jr.",Texas,2019
Nathan Hayden Heidelberg,Texas,2019
Raul Adam Gomez,Texas,2020
Joe Charlie Landin,Texas,2020
Rodrick L. Rodgers,Texas,2020
"Jose Antonio Buso, Sr.",Texas,2020
Timothy Lee Beggs,Texas,2020
Dudley James Champ,Texas,2020
Kirk A. Coker,Texas,2020
Sheena Dae Yarbrough-Powell,Texas,2020
"Edelmiro Garza, Jr.",Texas,2020
Christopher Alan Smith,Texas,2020
"Harold Paul ""Skip"" Smith, Jr.",Texas,2020
Christopher Scott Korzilius,Texas,2020
Nicholas Lee Reyna,Texas,2020
Jackson M. Pongay,Texas,2020
"Joseph Francis Quillen, Jr.",Texas,2020
Ismael Z. Chavez,Texas,2020
Sean Rahina Wilson,Texas,2020
M. Wayne Rhodes,Texas,2020
Jorge Cabrera,Texas,2020
Michael Stevens,Texas,2020
Susan Ann Roberts,Texas,2020
Harold Lloyd Preston,Texas,2020
"Ernest Leal, Jr.",Texas,2020
Sean Sebastian Rios,Texas,2020
Abraham Martin Vega,Texas,2020
Timothy P. De La Fuente,Texas,2020
Phillip D. Holbert,Texas,2020
Lebouath A. Boua,Texas,2020
Lyle Gene Denny,Texas,2020
N. Kyle Coleman,Texas,2020
Lemuel Delray Bruce,Texas,2020
Donald Eugene Parker,Texas,2020
Patrick Eugene Sloan,Texas,2020
Kelvin D. Wilcher,Texas,2020
Dale Edward Multer,Texas,2020
Richard Edward Whitten,Texas,2020
Jerry William Jones,Texas,2020
"Jonathon Keith Goodman, Sr.",Texas,2020
"James Willard Weston, Jr.",Texas,2020
Cornelius Bernard Anderson,Texas,2020
John Andrew Rhoden,Texas,2020
Caleb Daniel Rule,Texas,2020
Thomas Adedayo Ogungbire,Texas,2020
Tracy Allen Gaines,Texas,2020
Brad Andrew Briscoe,Texas,2020
Craig Lavorrowous King,Texas,2020
Alan Daniel McCollum,Texas,2020
Brenda Lee LaFaso,Texas,2020
Johnny Ramos Tunches,Texas,2020
"Coy Dale Coffman, Jr.",Texas,2020
"Leslie L. Graves, II",Texas,2020
Marvin Wayne Trejo,Texas,2020
"Charles Edward Holt, III",Texas,2020
Juan Menchaca,Texas,2020
Bobby Almager,Texas,2020
Maria Luisa Mendez,Texas,2020
Jerry Esparza,Texas,2020
James David Coleman,Texas,2020
David Lynn Schmidt,Texas,2020
Ruben Martinez,Texas,2020
"Lionel Q. Martinez, Jr.",Texas,2020
Christopher Lynn Elder,Texas,2020
Robert Rivera,Texas,2020
Joseph William Lange,Texas,2020
Kenneth Wayne Harbin,Texas,2020
"Dennis Roy Oliver, Jr.",Texas,2020
"Charlie Williams, Jr.",Texas,2020
Bronc Justin McCoy,Texas,2020
Raymond John Scholwinski,Texas,2020
Jason Michael Knox,Texas,2020
Jesse Wayne Bolton,Texas,2020
"Raul Salazar, Jr.",Texas,2020
Elizabeth A. Jones,Texas,2020
Alexander A. Arango,Texas,2020
Mark Christopher Brown,Texas,2020
Herbert James Garcia,Texas,2020
Eric Trivonte Johnson,Texas,2020
Justin Read Putnam,Texas,2020
"Juan Alfonso ""John"" Delgado",Texas,2021
"Tomas Infante, Sr.",Texas,2021
John Edward Moon,Texas,2021
Joshua Blake Bartlett,Texas,2021
Arnulfo Pargas,Texas,2021
Samuel Alexander Leonard,Texas,2021
Charles Ronald Hughes,Texas,2021
Maria Garcia,Texas,2021
Albert Rene Gomez,Texas,2021
Stephen George Jones,Texas,2021
"Roy Thomas Overton, Jr.",Texas,2021
Dustin Lee Slovacek,Texas,2021
Garland Chaney,Texas,2021
Cleadas Gilberto Sherman,Texas,2021
John David Wilbanks,Texas,2021
Connell Foreman,Texas,2021
Tracey Annette Adams,Texas,2021
"Glenn R. Skeens, Jr.",Texas,2021
Alexander David Gwosdz,Texas,2021
Anthony Standley,Texas,2021
"Joseph Anthony Cisneros, Jr.",Texas,2021
Jason Donaldson,Texas,2021
Troy K. Morin,Texas,2021
Clay Eugene Garrison,Texas,2021
Codie Whitley-Turner,Texas,2021
"Sherman Otto Benys, Jr.",Texas,2021
Jonathan Andre Terrazas,Texas,2021
Dusty L. Wainscott,Texas,2021
"Richard Lee Houston, II",Texas,2021
Gregory Randall Young,Texas,2021
William Lyle Gardner,Texas,2021
"Christopher Damon Watson, Sr.",Texas,2021
James Nathaniel Henry,Texas,2021
"Richard Anthony Sepolio, Sr.",Texas,2021
Taiwo Caroline Obele,Texas,2021
Robert Troy Joiner,Texas,2021
Randall Lewis Sims,Texas,2021
Michael David Dunn,Texas,2021
"Juvencio Garcia, Jr.",Texas,2021
"Alfred Jimenez, Jr.",Texas,2021
Mitchell Aaron Penton,Texas,2021
Camerino Santiago,Texas,2021
Shad Eugene Hammond,Texas,2021
Thomas Scott Collora,Texas,2021
Chad Michael Walker,Texas,2021
Sherry Kay Langford,Texas,2021
Scott Paul Harn,Texas,2021
Lakeisha Monique Brantley,Texas,2021
"Huey P. Prymus, III",Texas,2021
Thomas Kristopher Hutchison,Texas,2021
Melissa Ruth Maldonado,Texas,2021
Jimmy Garcia,Texas,2021
Manuel Christopher Widner,Texas,2021
Earnest Oldham,Texas,2021
Manuel Phillipe De La Rosa,Texas,2021
Vickie V. James,Texas,2021
Shaun Christopher Waters,Texas,2021
Gilbert Clayton McClure,Texas,2021
Steve Urias,Texas,2021
"James Earl Dement, Jr.",Texas,2021
"Kuo-sheng ""Johnny"" Wang",Texas,2021
"Randolph Boyd, Jr.",Texas,2021
Ty’Isha Harper,Texas,2021
Jose Angel Hernandez,Texas,2021
Roland Asebedo,Texas,2021
Tracy Joe Dotson,Texas,2021
Tom Larry Hoobler,Texas,2021
Robert Perez,Texas,2021
Eric Shawn Lindsey,Texas,2021
Kevin Dupree,Texas,2021
"Noah Ryan LeBlanc, Sr.",Texas,2021
"Lewis Andrew ""Andy"" Traylor",Texas,2021
Carlos David Ortiz,Texas,2021
Echo Rodriguez,Texas,2021
William Howard Gudgell,Texas,2021
Dustin Kyle Speckels,Texas,2021
Michael Allen Keathley,Texas,2021
Ricky Neal Roberts,Texas,2021
Richard John Frankie,Texas,2021
Honorato Antones,Texas,2021
Joe Martin Olivares,Texas,2021
David Edward Ruiz,Texas,2021
"Pedro Junior ""Pete"" Mejia",Texas,2021
Christopher Ray Wilson,Texas,2021
Daniel Joseph Giorgi,Texas,2021
Ronald Rudy Butler,Texas,2021
Paul Keith Mooney,Texas,2021
David Alan Marshall,Texas,2021
"Eddie B. Hutchison, III",Texas,2021
Treva T. Preston,Texas,2021
Andrew Robert MacDonald,Texas,2021
Clinton Joseph Ventrca,Texas,2021
Randy Stallard,Texas,2021
Raquel Virginia Saunders,Texas,2021
Michelle Beth Gattey,Texas,2021
Jay Vincent Pena,Texas,2021
"Luis Arturo Hernandez, Sr.",Texas,2021
"Jack Lee Guthrie, Jr.",Texas,2021
Rodney Lane Mooneyham,Texas,2021
Julio Cesar Martinez,Texas,2021
William John Jeffrey,Texas,2021
"Phillip David Barron, Jr.",Texas,2021
"Miguel Eladio ""Mike"" Sanchez",Texas,2021
Robert C. Ynclan,Texas,2021
Matthew Adam Jimenez,Texas,2021
"Esteban ""Stevie"" Ramirez, III",Texas,2021
"Wayne ""Butch"" Nowell, Jr.",Texas,2021
Kareem Anthony Atkins,Texas,2021
Joshua James Sieman,Texas,2021
Lonnie Sneed,Texas,2022
"Ramiro ""Ray"" Perez",Texas,2022
Laquintin J. Wilson,Texas,2022
"Kay W. Zeger, Jr.",Texas,2022
Darrell Avery,Texas,2022
Mark A. Loecken,Texas,2022
Burke N. Hannibal,Texas,2022
Chris Bardwell,Texas,2022
Anthony Martin,Texas,2022
Sheli Godbold,Texas,2022
Robert Adam Howard,Texas,2022
Lorenzo Bustos,Texas,2022
Charles Galloway,Texas,2022
Anthony Salas,Texas,2022
David Glen Evans,Texas,2022
Jennifer Lauren Chavis,Texas,2022
Lorin Marie Readmond,Texas,2022
Darren Almendarez,Texas,2022
Jeffrey Michael David Richardson,Texas,2022
Ramon Gutierrez,Texas,2022
Brandon Tsai,Texas,2022
Franklin Joe,Texas,2022
Jose Ruiz,Texas,2022
"Lonnie D. Johnson, Jr.",Texas,2022
Barbara Majors Fenley,Texas,2022
"John Baron ""Barry"" Broadaway",Texas,2022
Christopher Gibson,Texas,2022
Kaitlyn Breanne Ritnour,Texas,2022
"Steven R. Nothem, II",Texas,2022
John Mestas,Texas,2022
Jade Drennan,Texas,2022
Neil Adams,Texas,2022
Christopher Wayne Berry,Texas,2022
Rodney Badger,Utah,1853
William Cooke,Utah,1858
Levi Washington Davis,Utah,1860
Festus Sprague,Utah,1870
Albert H. Bowen,Utah,1873
Matthew B. Burgher,Utah,1876
Andrew H. Burt,Utah,1883
Daniel Mahoney,Utah,1883
Alonzo M. Wilson,Utah,1894
James Christopher Burns,Utah,1894
Thomas A. Stagg,Utah,1895
J. C. Morrissey,Utah,1895
Silas E. Clark,Utah,1897
William Strong,Utah,1899
William A. Brown,Utah,1899
Samuel Jenkins,Utah,1900
Jesse Tyler,Utah,1900
Thomas Nalley,Utah,1902
Frank J. Tucker,Utah,1904
Charles S. Ford,Utah,1907
Albert Holindrake,Utah,1908
Seymore Legrande Clark,Utah,1908
Charles C. Riley,Utah,1909
John H. Johnston,Utah,1911
"Francis Allen ""Frank"" Colclough",Utah,1912
"William  ""Billie"" Nelson",Utah,1912
Thomas Manderich,Utah,1913
Thomas F. Griffiths,Utah,1913
J. W. Grant,Utah,1913
Nephi Stannard Jensen,Utah,1913
Otto Witbeck,Utah,1913
J. Douglas Hulsey,Utah,1913
Ernest G. Berry,Utah,1914
Alex J. Robertson,Utah,1915
Albert G. Smalley,Utah,1920
Green B. Hamby,Utah,1921
Lee Franklin Isbell,Utah,1921
Charles Manzel,Utah,1921
Gordon Stuart,Utah,1922
Floyd L. Rose,Utah,1922
David H. Crowther,Utah,1923
Nephi P. Pierce,Utah,1923
Brigham H. Honey,Utah,1924
Nolan W. Huntsman,Utah,1924
"Gustave J. ""Gus"" Lund",Utah,1924
James Milton Burns,Utah,1925
Rollin R. Tanner,Utah,1927
Oscar Fullmer,Utah,1928
Richard Dallin Westwood,Utah,1928
Willard R. Dahle,Utah,1929
Carl J. Carlson,Utah,1929
George Edwin Van Wagenen,Utah,1931
Joseph Horald Quigley,Utah,1935
Blaine L. Baxter,Utah,1935
William Levi Black,Utah,1936
Hoyt L. Gates,Utah,1941
S. Marion Bliss,Utah,1945
"Alonzo Theodore ""Lon"" Larsen",Utah,1945
Clarence M. Bean,Utah,1945
Owen T. Farley,Utah,1951
Thomas W. Stroud,Utah,1951
Leon Albert May,Utah,1953
"Harold A. Peterson, Sr.",Utah,1954
Edwin J. Fisher,Utah,1955
Alma P. Sorensen,Utah,1959
Edwin Edwards,Utah,1959
Armond A. Luke,Utah,1959
Mackay C. Jewkes,Utah,1959
Seth Forsgren Wright,Utah,1960
George Dee Rees,Utah,1960
Lloyd Larsen,Utah,1961
Carlos Mentril Hall,Utah,1965
Donald Wagstaff,Utah,1970
Charles Gilbert Porter,Utah,1970
John R. Winn,Utah,1971
Donald Perry Jensen,Utah,1971
Melvin C. Colebrook,Utah,1973
William John Antoniewicz,Utah,1974
James Raymond Merrill,Utah,1974
Lauren Everett Dow,Utah,1975
Robert B. Hutchings,Utah,1976
Ray Lynn Pierson,Utah,1978
Dale E. Nelson,Utah,1980
Daniel W. Harris,Utah,1982
Ronald L. Heaps,Utah,1982
"Charles H. Dickey, Jr.",Utah,1984
Rodney W. Schreurs,Utah,1984
Thomas M. Rees,Utah,1986
Gerry Lanell Ivie,Utah,1987
Wade Alexander Hansen,Utah,1987
Jackson Dee Elmer,Utah,1987
Blake V. Wright,Utah,1990
"Joseph Samuel Brumett, III",Utah,1992
Dennis Lavelle Lund,Utah,1993
Michael Scott Welcker,Utah,1994
Doyle Reed Thorne,Utah,1994
Randy K. Ingram,Utah,1994
Charles D. Warren,Utah,1994
Norman Kim Nisson,Utah,1995
Lawrence Carter Penrod,Utah,1997
Tracey Dale Davidson,Utah,1998
Michael J. Dunman,Utah,2000
Thomas Sumner Rettberg,Utah,2000
James E. Faraone,Utah,2001
Joseph Dan Adams,Utah,2001
Cecil F. Gurr,Utah,2001
Edward Norman Dare,Utah,2002
Ronald Manfred Wood,Utah,2002
Jeremiah Kirk Johnson,Utah,2003
David Charles Jones,Utah,2003
Jon Christopher Draper,Utah,2004
Kevin Shumway Orr,Utah,2006
Trenton F. Halladay,Utah,2006
Stephen Anderson,Utah,2007
Charles Benjamin Skinner,Utah,2008
Josie Greathouse Fox,Utah,2010
Brian Bruce Harris,Utah,2010
Franco Rafael Aguilar,Utah,2010
Jared Daniel Francom,Utah,2012
Aaron Robert Beesley,Utah,2012
Derek Ray Johnson,Utah,2013
Cory Blake Wride,Utah,2014
"Douglas Scott Barney, II",Utah,2016
Eric Dale Ellsworth,Utah,2016
Cody James Brotherson,Utah,2016
David Paul Romrell,Utah,2018
Dennis Burt Vincent,Utah,2018
Joseph William Shinners,Utah,2019
Nathan James Lyday,Utah,2020
J. Adam Ashworth,Utah,2021
Thomas Hewlett,Vermont,1814
Carlos O. Farnsworth,Vermont,1883
George W. Hoffman,Vermont,1900
James P. McGrath,Vermont,1904
Frank Almon Hayden,Vermont,1908
Joseph P. Manogue,Vermont,1917
John Henry Collette,Vermont,1932
Otis J. Gross,Vermont,1934
Ralph Floyd Peckham,Vermont,1935
Robert Daniel Rossier,Vermont,1935
Hervey Burnham,Vermont,1935
Ray William Russell,Vermont,1941
J. Albert Fisher,Vermont,1947
Robert W. Provost,Vermont,1954
"Solomon David ""Sam"" Bocash",Vermont,1960
Alexander Aurelio Fontecha,Vermont,1965
George L. Lee,Vermont,1967
Dana Lee Thompson,Vermont,1972
"Bernard J. Demag, Sr.",Vermont,1978
Arnold J. Magoon,Vermont,1978
George J. Bent,Vermont,1982
Arthur L. Yeaw,Vermont,1983
William J. Chenard,Vermont,1987
Eugene Natale Gaiotti,Vermont,1989
Gary Allen Gaboury,Vermont,1992
Michael Walter Johnson,Vermont,2003
Ruby Ann Rainault,Vermont,2003
Kyle David Young,Vermont,2015
Elijah Chenault,Virginia,1823
Gerrard Arnold,Virginia,1827
Thomas Griffin Thornton,Virginia,1830
William Armstrong,Virginia,1847
John B. Drummond,Virginia,1869
Thomas Kirkham,Virginia,1869
William R. Cray,Virginia,1870
Joseph Anderson Seay,Virginia,1870
Donald G. Tourgee,Virginia,1870
John Kerr,Virginia,1870
James M. Walker,Virginia,1870
Richard O. Busch,Virginia,1870
Michael McCarthy,Virginia,1870
John P. Meagher,Virginia,1870
James T. Cox,Virginia,1870
Julius Schultz,Virginia,1870
James M. Carter,Virginia,1870
John Wilson,Virginia,1871
"John Minetree, Jr.",Virginia,1881
J. C. Parks,Virginia,1883
William Halsey Gouldman,Virginia,1883
John Jefferson DeHart,Virginia,1884
Benjamin M. Nalls,Virginia,1885
Julian F. Arnold,Virginia,1887
Lilburn Henderson Trigg,Virginia,1888
George Thomas Seal,Virginia,1888
George Crichton,Virginia,1889
Enos B. Hilton,Virginia,1891
C. H. Jones,Virginia,1891
Thomas A. Mabry,Virginia,1892
George W. Crump,Virginia,1893
John H. Yarbrough,Virginia,1895
Thomas Jefferson Osborn,Virginia,1895
William A. Cook,Virginia,1896
E. A. Blondell,Virginia,1897
Robert D. Austin,Virginia,1898
Malachi J. Beasley,Virginia,1898
Henry Milton Seaton,Virginia,1899
Joseph Welton,Virginia,1900
John W. Saunders,Virginia,1900
R. D. Hudson,Virginia,1901
J. S. Smith,Virginia,1902
Thadeus E. Davis,Virginia,1902
William P. Stanley,Virginia,1902
"Wilson Noah Holbrook, Sr.",Virginia,1902
James King,Virginia,1903
"William R. ""Sandy"" Lawson",Virginia,1903
Alfred Hall,Virginia,1903
John McNerney,Virginia,1904
John F. Shinberger,Virginia,1904
George A. Malcolm,Virginia,1905
Thomas L. Reed,Virginia,1905
Robert Murphy,Virginia,1905
Leonard Otoway Page,Virginia,1906
William B. Renfro,Virginia,1906
Roscoe Flanary,Virginia,1906
Wiley C. Metts,Virginia,1906
Robert M. Beard,Virginia,1906
Walter R. McClintock,Virginia,1908
Supra C. Woodroof,Virginia,1908
James W. Morefield,Virginia,1908
William S. Winningder,Virginia,1908
George T. Smith,Virginia,1908
William F. Campbell,Virginia,1908
Rufus A. Hobbs,Virginia,1909
Joseph W. Sykes,Virginia,1909
Anthony D. Hiner,Virginia,1910
Oscar Miller Martin,Virginia,1912
John C. Howard,Virginia,1912
Archer Thomas Belcher,Virginia,1912
Lewis F. Webb,Virginia,1912
Robert Lee Pippin,Virginia,1914
William Baker Andis,Virginia,1915
Thomas Harris Dickinson,Virginia,1915
Raymond Earl Hacker,Virginia,1915
Jasper Christopher Holmes,Virginia,1916
John H. Leverett,Virginia,1916
Robert E. Beasley,Virginia,1916
Charles Crittenden Flanary,Virginia,1917
Charles Jones Barton,Virginia,1917
William H. McCray,Virginia,1917
Stonewall J. Taylor,Virginia,1917
Meredith A. Thomas,Virginia,1917
James A. Taylor,Virginia,1918
William E. Brinkley,Virginia,1918
Ashville T. Williamson,Virginia,1918
"Andrew Jefferson ""Jeff"" Long",Virginia,1918
J. C. Shelhorse,Virginia,1918
George Fountain Carter,Virginia,1919
Harvey J. Babb,Virginia,1919
Robert Hitchman Smith,Virginia,1919
Walker W. Campbell,Virginia,1919
George Washington Nuckolls,Virginia,1919
Gerald M. Harmon,Virginia,1919
William E. Payne,Virginia,1919
Harry Lankford Charlton,Virginia,1920
Paris R. Fields,Virginia,1920
"Melvin E. ""Mel"" Wilson",Virginia,1920
William L. Sherrod,Virginia,1920
L. Arthur Mann,Virginia,1920
Daniel Webster Littrell,Virginia,1920
John P. Jones,Virginia,1921
Walter E. Snow,Virginia,1921
Worley H. Wells,Virginia,1921
Willie C. Bond,Virginia,1921
Washington Irving Curtis,Virginia,1921
James Flint,Virginia,1921
John Mosley Yost,Virginia,1921
Robert Hayes DeKorte,Virginia,1921
Julian F. Boyer,Virginia,1921
Luther R. Reedy,Virginia,1922
John Bunyon Counts,Virginia,1922
John Hughes Mitchell,Virginia,1922
Thomas Simms Meredith,Virginia,1922
Edwin Blair Butler,Virginia,1922
Cameron Mason Thomas,Virginia,1922
Louis Donnel Wilmeth,Virginia,1923
"Jefferson D. Lambert, Jr.",Virginia,1923
George Shelton Frame,Virginia,1923
Allen Gimbert,Virginia,1923
St. Elmo C. Trower,Virginia,1923
Harry Willard Darnall,Virginia,1923
Luther Simeon McManamay,Virginia,1924
Joseph J. Powell,Virginia,1924
Charles Franklin Headley,Virginia,1924
John Marion Seago,Virginia,1924
Edward J. Vellines,Virginia,1924
J. Harvey Burke,Virginia,1925
Leon Francis Smith,Virginia,1925
Ellsworth Alexander Moore,Virginia,1925
William M. Terry,Virginia,1925
Clyde H. Morgan,Virginia,1925
Louis Foster Bertucci,Virginia,1925
Jasper Columbus Miller,Virginia,1926
James Sherman Mullins,Virginia,1926
Daniel Asburn Carper Hutchison,Virginia,1926
Squire Hagy,Virginia,1927
Samuel Arthur Funkhouser,Virginia,1927
"Robert Chapman ""Chap"" Osborne",Virginia,1927
J. Payton Stewart,Virginia,1927
Ambrose M. Smith,Virginia,1927
Samuel A. Brown,Virginia,1927
Clifford Louis Johnson,Virginia,1927
Liberty Allen Turner,Virginia,1927
Elton B. Hummer,Virginia,1928
W. Neville Hatcher,Virginia,1928
Daniel A. Weisbrod,Virginia,1928
"George C. Williams, Sr.",Virginia,1928
Curtis Lee Wood,Virginia,1929
"Bernard A. Puryear, Sr.",Virginia,1929
Charlie Ashby Gum,Virginia,1929
Phillip C. Via,Virginia,1929
"Malcolm E. ""Mack"" Tuck",Virginia,1929
Crockett Mullins,Virginia,1929
Francis Lewis Kibler,Virginia,1929
Harry Valentine Smeeman,Virginia,1929
Frank Hatchett Gilliam,Virginia,1929
Henry Marion Mumpower,Virginia,1929
Charles R. McClary,Virginia,1929
Hyson Baker,Virginia,1930
August Perault Pierce,Virginia,1930
William R. Carter,Virginia,1930
Whitfield W. Lipscombe,Virginia,1930
Thomas Allen Belt,Virginia,1930
Joseph E. Johnson,Virginia,1930
James Newton Wood,Virginia,1930
George Pettit Thomas,Virginia,1930
Harvey M. Carter,Virginia,1930
Henry Yates,Virginia,1931
Bennie F. Williams,Virginia,1931
John Lee Cox,Virginia,1931
Robert Bunyan Sheppard,Virginia,1932
Stuart McGuire Sutherland,Virginia,1932
Vernon Wilson Jones,Virginia,1932
Luther Pannett,Virginia,1932
John Franklin Shank,Virginia,1932
James L. Hodges,Virginia,1932
Charles Alton Edward Leonard,Virginia,1932
Charles Clark McKnight,Virginia,1933
Weldon Olen Bass,Virginia,1933
James Madison Beard,Virginia,1933
Tony John Peaches,Virginia,1933
George M. Ware,Virginia,1933
"Fred Arnold, Sr.",Virginia,1934
Frank M. Tompkins,Virginia,1934
Allen E. Lindsay,Virginia,1934
William A. Toot,Virginia,1934
"Loranzie Floyd ""Ranz"" McGlothlin",Virginia,1934
Charles Bazil Bullock,Virginia,1934
Leonard Russell Morris,Virginia,1934
Louis Franklin Shaw,Virginia,1935
Arch F. Redmond,Virginia,1935
Horace C. Parker,Virginia,1935
Robert L. Bailey,Virginia,1935
Joseph S. Pratt,Virginia,1935
William Raymond Thompson,Virginia,1935
Clarence J. McClary,Virginia,1935
Posey C. Martin,Virginia,1935
Benjamin H. Butts,Virginia,1935
William A. Moore,Virginia,1935
William Wallace Calder,Virginia,1935
James Dallas Bryant,Virginia,1936
"William B. ""Willie"" Young",Virginia,1936
Walter H. Combs,Virginia,1936
Marion David Lipps,Virginia,1936
David Jackson Payne,Virginia,1936
Powhatan Dance Bass,Virginia,1936
Ruben Wallen,Virginia,1936
Elridge Rochelle Story,Virginia,1936
J. Rufus Smith,Virginia,1936
L. D. Cole,Virginia,1936
Clarence Edward Simmons,Virginia,1936
Coner Flanary Hughes,Virginia,1936
Jefferson R. Holland,Virginia,1937
William Stephen Snead,Virginia,1937
James W. Newcome,Virginia,1938
Charles William Puckett,Virginia,1938
Arthur Herbert Barrett,Virginia,1938
Herbert August Boelte,Virginia,1938
Thomas M. Gravely,Virginia,1938
John Franklin Harmann,Virginia,1938
Benjamin Franklin Sluss,Virginia,1939
