Name,Age,Cause
Thomas Flynn,37.0,Other
James A. Coggburn,44.0,Gunfire
John A. Norris,52.0,Gunfire
John McPherson Berrian Brooks,31.0,Gunfire
Joseph Rosenfield,32.0,Other
Thomas F. Tolbert,40.0,Other
Lorenzo C. Crowell,31.0,Other
William J. Bates,39.0,Gunfire
James A. Nelms,36.0,Gunfire
Robert Morgan,24.0,Gunfire
Marion David Robertson,26.0,Gunfire
Alvin Phippenney,32.0,Gunfire
William L. Moore,51.0,Gunfire
Charles Printz,37.0,Gunfire
Samuel Waite Seawell,46.0,Gunfire
William B. Anglin,29.0,Gunfire
Fred Karsch,36.0,Gunfire
John Carville,38.0,Gunfire
Frederick H. White,31.0,Gunfire
Joel Woodson Fergeson,53.0,Gunfire
Dennis R. Lyons,36.0,Gunfire
John Howell Adams,42.0,Gunfire
James Almeron Richmond,34.0,Gunfire
Samuel D. Ball,33.0,Gunfire
Willard Rufus Ayers,33.0,Gunfire
Michael O'Neal,28.0,Gunfire
Kuntz Stahlberger,32.0,Other
Lee Lynam,31.0,Gunfire
John M. Cone,28.0,Gunfire
Albert Woodard McCorkle,32.0,Gunfire
James Carlysle,20.0,Other
"Gerald F. ""Paddy"" Creaghe",24.0,Gunfire
Thomas Smith McMullin,55.0,Gunfire
William B. Weaver,36.0,Gunfire
John Wiggins,38.0,Gunfire
Joseph C.R. Bullard,33.0,Gunfire
William F. Miller,28.0,Other
"George R. ""Red"" Bingham",28.0,Gunfire
Lauriston Stewart,34.0,Gunfire
Michael Walsh,40.0,Gunfire
Joe Carson,41.0,Gunfire
Joseph Nelson,36.0,Gunfire
James T. Morris,27.0,Gunfire
John B. Benham,51.0,Gunfire
Daniel J. Hayes,34.0,Gunfire
Jose Antonio Griego,25.0,Gunfire
Cyrus W. Abel,41.0,Gunfire
John Byron Hardie,31.0,Gunfire
John R. Simpson,46.0,Gunfire
Thomas V. Skelton,29.0,Other
"Henry ""Teddy"" Frank",41.0,Gunfire
Patrick Doran,36.0,Gunfire
John Donald McElrath,26.0,Gunfire
Gus Krempkau,25.0,Gunfire
Charles G. Coleman,41.0,Gunfire
Burrell E. Dawkins,26.0,Gunfire
Thomas J. Norton,28.0,Gunfire
Albertus Sweet,38.0,Gunfire
Michael Meagher,37.0,Gunfire
Joseph Lanier,26.0,Gunfire
Jourden Alexander Morris,30.0,Gunfire
James A. Spillman,45.0,Other
Dallas Hodges,35.0,Gunfire
Edward O'Dwyer,25.0,Other
"M. M. ""Meek"" Knight",30.0,Gunfire
Reuben D. Coleman,29.0,Gunfire
Mosher Burnham,40.0,Gunfire
Amos Forbes,32.0,Gunfire
William D. Patton,32.0,Gunfire
John E. Martin,46.0,Gunfire
Martin Hynes,39.0,Gunfire
David Clayton Ogsbury,33.0,Gunfire
George Horton Cady,53.0,Gunfire
John Isham Mount,37.0,Gunfire
Nimrod Johnson Miller,37.0,Other
Bernard F. Kearns,30.0,Gunfire
"Samuel J. ""Sam"" Meredith",29.0,Gunfire
William E. Patterson,33.0,Gunfire
James W. Bell,28.0,Gunfire
"Richard ""Texas"" McCoy",51.0,Gunfire
John Lammy,41.0,Gunfire
Daniel Crowley,34.0,Gunfire
Allen Belcher,49.0,Gunfire
Henry Seagraves,50.0,Gunfire
James Simpson Harrison,46.0,Gunfire
